Smiles,MolLogP,MolWt,NumRotatableBonds,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,SlogP_VSA1,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,SlogP_VSA10,SlogP_VSA11,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA10,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14
N#CCCCCCCCCCCCCCCCCCCCc1ccc(C=O)[nH]1,7.915080000000008,386.6240000000001,20,0,0,0,1,0,0.0,6.4208216229260096,11.33111286753076,131.75718238643697,0.0,0.0,0.0,0.0,5.261891554738487,4.9839785209472085,0.0,0.0,6.286160523129555,4.794537184071822,0.0,5.261891554738487,0.0,96.31232434389018,31.395199005701247,12.114749617774471,11.763149307640735,0.0,6.286160523129555,0.0,0.0,0.0
Cc1cc2c(c(C)c1CCO[N+](=O)[O-])CC(C)(C)C2=O,2.8192400000000015,277.32,4,1,0,1,0,0,0.0,17.67923182958865,29.3767831375436,46.45926904193805,0.0,0.0,0.0,0.0,0.0,0.0,5.41499046939678,6.606881964512918,5.783244946364939,4.794537184071822,0.0,0.0,10.114318268765572,13.847474399381248,55.00929068048286,10.978441961093775,0.0,6.606881964512918,5.783244946364939,0.0,5.086619042932543,0.0
C[C@@H]1C(=O)O[C@@H](C(C)(C)O)c2nc(cs2)C(=O)OC(C)(C)[C@H](O)c2nc(cs2)C(=O)O[C@H]1CCCC(C)(Cl)Cl,5.163000000000006,623.5770000000001,5,0,1,0,2,0,0.0,19.005126045471968,5.917906046161393,104.00499859396447,0.0,0.0,0.0,0.0,0.0,9.967957041894417,5.917906046161393,0.0,63.78336740019005,4.794537184071822,19.55703141003806,0.0,45.87545153633451,0.0,60.80488806692178,10.76012554093183,5.917906046161393,37.75863590465495,17.491822377445224,0.0,0.0,17.90791586385555
CCC[C@H]1CCC[C@]2(NC3=[N+]4[C@H](CC[C@H]4[C@H]2C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)CC(O)CCN)C[C@]2(CCC=C[C@@H](CC)O2)N3)O1,6.89730000000001,830.2329999999998,27,0,5,0,0,2,22.100912162337032,23.79966322954379,5.917906046161393,187.2096582183836,0.0,0.0,0.0,0.0,0.0,15.533486938863138,17.385241000485763,32.78590758816322,17.83603958604719,14.16460022762346,10.633577208012662,0.0,0.0,103.04937408816114,83.71855066401127,38.7727993035292,37.00246278605375,0.0,11.642891640131648,11.63216532332176,0.0,11.928859856695684
C[C@H](CO)CCC[C@@H](C)[C@H]1[C@@H](O)[C@@H](O)C2[C@@]3(O)C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)CC1[C@H](O)[C@H]3O,1.4390999999999994,484.6740000000004,6,4,0,0,0,0,0.0,0.0,46.33741721576191,79.06152178217059,0.0,0.0,0.0,0.0,0.0,0.0,46.33741721576191,6.606881964512918,0.0,0.0,0.0,0.0,0.0,40.53659204461451,78.94444090715659,12.52478801067431,24.41586555099321,11.70501719873199,0.0,0.0,0.0,0.0
O=C(O)[C@H](CNCCCCCCCCCC/C=C\CCc1cccnc1)c1ccccc1,6.539300000000007,436.6400000000001,18,0,0,1,1,0,5.316788604006331,11.21535880699783,0.0,81.2530252588155,0.0,0.0,0.0,0.0,0.0,10.30076712495354,0.0,13.08951281182515,5.969305287951849,9.77851570501903,0.0,0.0,0.0,87.07517236199351,55.84213457239823,18.93844354913873,5.917906046161393,0.0,0.0,0.0,0.0,5.969305287951849
C/C(=C\C(O)C/C(C)=C/CC[C@@H]1C(=O)O[C@H]2O[C@H]21)C/C=C/c1ccoc1,4.0046000000000035,358.4340000000001,9,0,2,0,1,2,0.0,14.268263091671919,5.917906046161393,45.09421238278229,0.0,6.076020106833881,0.0,0.0,0.0,0.0,5.917906046161393,0.0,12.045325394785731,4.794537184071822,0.0,0.0,0.0,35.45028948747406,45.5971279595469,5.563451491696996,24.54819842518781,6.103966387748303,0.0,6.290026729335213,0.0,5.969305287951849
CC(C)(Cl)[C@H](Br)CC[C@](C)(O)[C@H]1CC[C@@](C)([C@H](O)CC[C@@H](O)[C@]2(C)CC[C@H]([C@@](C)(O)CC[C@@H](Br)C(C)(C)Cl)O2)O1,6.988000000000011,741.4700000000003,15,0,2,0,0,2,0.0,9.473725907600098,0.0,119.5981138267851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.06176757636373,0.0,0.0,0.0,23.20187978046503,31.859887795898697,119.5981138267851,9.654348140593624,56.568413377810174,0.0,0.0,0.0,0.0,0.0
C=C1C[C@@H]2OC(C)(C)[C@@H]3CC[C@](C)(C[C@H]4[C@H](C)CC[C@@H]14)[C@@H]23,5.208600000000006,288.47499999999997,0,3,1,0,0,1,0.0,4.736862953800049,35.00452070020374,66.21987853631856,0.0,0.0,0.0,0.0,0.0,0.0,35.00452070020374,0.0,0.0,0.0,0.0,0.0,0.0,25.999514613049012,87.37692483714105,0.0,11.70501719873199,0.0,0.0,0.0,0.0,0.0
O=C1NCc2nc3ccccc3c(=O)n2[C@H]1C[C@@]12OCN3[C@@H]1N(C(=O)C31CC1)c1ccccc12,1.3615999999999997,455.4740000000003,2,1,4,2,1,2,15.775965229908817,26.471744538839957,0.0,36.692161687622914,0.0,10.902924932081056,5.687386274683562,0.0,0.0,19.76777650359537,0.0,11.630726478349963,28.40467066546763,23.850620930857296,9.883888251797686,0.0,0.0,30.33183534230805,31.04074445123685,11.984273114623004,23.135067612677194,35.90281375014893,0.0,11.814359458703011,5.559266895052007,0.0
C[C@@H]1[C@@H](O)C[C@]2(O)[C@H](O)[C@H]3CC(C)(C)C[C@H]3[C@]12C,1.5514000000000001,254.36999999999998,0,3,0,0,0,0,0.0,0.0,28.58369907727774,46.95741366754052,0.0,0.0,0.0,0.0,0.0,0.0,28.58369907727774,0.0,0.0,0.0,0.0,0.0,0.0,27.694948798762496,36.01035185373298,11.83581209232279,17.808983586480295,0.0,0.0,0.0,0.0,0.0
C[C@]12CCC[C@](C)(C(=O)O)[C@@H]1CC[C@]1(C)[C@@H]2CC[C@]2(C)Oc3ccc(O)cc3C[C@@H]12,5.809400000000006,412.57000000000016,1,3,1,1,0,0,4.736862953800049,11.21535880699783,33.99868954667452,78.20415165094157,0.0,0.0,0.0,11.49902366656781,0.0,0.0,33.99868954667452,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,20.268296022307258,105.2215714880615,5.917906046161393,5.41499046939678,17.100074477551498,0.0,0.0,0.0,5.969305287951849
C=C(C)C=C=C1C[C@@H]2O[C@@H](C(C)(C)O)C[C@]2(Cl)[C@H](O)[C@@H]1O,1.6754999999999993,314.80899999999997,2,1,1,0,0,1,0.0,4.736862953800049,0.0,33.61285484492389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.600939890232516,0.0,0.0,0.0,17.33215848097427,12.152040213667764,26.847231705905752,18.414747775921285,17.808983586480295,17.082105066937714,0.0,0.0,0.0,0.0
CCCCCC/C=C/CCCC/C=C/CCCCCC(=O)O,6.664700000000007,308.506,16,0,0,0,0,0,0.0,4.794537184071822,0.0,96.81523992065479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,56.91110411873018,57.787394606334104,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,5.969305287951849
COc1cc2ccnc3c2c(c1OC)NC(=O)C3=O,1.3867999999999996,258.233,2,0,1,1,1,0,14.790514511606428,4.794537184071822,0.0,10.488465178920283,0.0,10.772448428929591,5.687386274683562,11.49902366656781,0.0,4.9839785209472085,0.0,19.536383686561397,28.150259379329597,14.573052889090853,0.0,0.0,0.0,0.0,17.518958351388015,11.583067786077873,19.906981357238628,5.693927994848461,11.49902366656781,0.0,11.690424675716445,0.0
