Smiles,Standard Relation,pChEMBL Value
C#CN1C[C@@H]2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)C[C@@H]2C1,'=',5.1
C=C(C)COC1CN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)C1,'=',6.77
C=CC(C)(C)C12CC(=O)C(=O)N3C(=Cc4c[nH]cn4)C(=O)NC31N(OC)c1ccccc12,'=',4.4
CC(=O)Nc1ccc(C=CC(=O)N(C)Cc2cc3ccccc3n2C)cn1,'=',6.52
CC(=O)Nc1ccc(C=CC(=O)N2CC(OCc3ccncc3)C2)cn1,'=',6.58
CC(=O)Nc1ccc(C=CC(=O)N2CC(c3oc4ccccc4c3C)C2)cn1,'=',6.79
CC(=O)Nc1ccc(C=CC(=O)N2CCC(c3ccc4c(c3)OCO4)C2)cn1,'=',5.96
CC(=O)Nc1ccc(C=CC(=O)N2CCC(c3ccccc3)C2)cn1,'=',5.92
CC(=O)Nc1ccc(C=CC(=O)N2CCC(c3ccccn3)C2)cn1,'=',4.55
CC(=O)Nc1ccc(C=CC(=O)N2CCC(c3nccs3)C2)cn1,'=',5.35
CC(=O)Nc1ncc(C=CC(=O)N(C)Cc2cc3ccccc3n2C)cc1C,'=',6.03
CC(=O)c1cc2c(=O)c3c(C(=O)O)c(O)c(O)cc3oc2c(C(C)=O)c1-c1coc2cc(O)c(O)c(C(=O)O)c2c1=O,'=',6.05
CC(=O)c1ccc(C2=CC3CN(C(=O)C=Cc4cnc5c(c4)CCC(=O)N5)CC3C2)s1,'=',6.0
CC(C)(C)OC(=O)N1CCC(COc2ccc(F)cc2)CC1,'=',6.6
CC(C)(C)OC(=O)N1CCCC(COc2ccc(F)cc2)C1,'=',5.89
CC(C)=CCc1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O,'=',4.08
CC(C)=CCc1c(O)ccc(C(=O)C2[C@@H](c3c(O)cc(-c4cc5ccc(O)cc5o4)cc3O)C=C(C)C[C@@H]2c2ccc(O)cc2O)c1O,'=',5.26
CC(C)=CCc1cc(=O)c(Oc2ccc(Cl)cc2C)co1,'=',5.24
CC(C)CCC/C=C\CCCCCCCC(=O)O,'=',4.8
CC(C)CCCC/C=C\CCCCCCCC(=O)O,'=',4.79
CC(Cc1ncccn1)=NOC1CN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)C1,'=',6.06
CC1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.81
CC1CC(=O)c2c(cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)CC6=O)c(O)cc(O)c3c2O)O1,'=',5.72
CC1CN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)CC=C1c1ccccc1,'=',5.82
CCC1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.97
CCC=CCc1cc(=O)c(Oc2ccc(Cl)cc2C)co1,'=',5.19
CCCC1CCN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)CC1,'=',7.39
CCCCCCCCCCCCCCCCc1cc(OC2OC(CO)C(O)C(O)C2O)cc(O)c1C(=O)Oc1cc(C)c(C(=O)O)c(O)c1,'=',5.5
CCCCCOC1CN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)C1,'=',7.6
CCCCCS(=O)(=O)C1CN(C(=O)C=Cc2cnc3c(c2)CCC(=O)N3)C1,'=',5.07
CCCCc1ccc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)cc1,'=',6.29
CCCCn1cc(Oc2ccc(C)cc2C)c(=O)cc1COc1ccccc1,'=',6.0
CCCCn1cc(Oc2ccc(Cl)cc2C)c(=O)cc1COc1ccccc1,'=',6.2
CCCCn1cc(Oc2ccc(Cl)cc2Cl)c(=O)cc1COc1ccccc1,'=',5.9
CCCOc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CC2(CCN(C)CC2)C(=O)N3)cccc1OC,'=',7.58
CCCOc1c(CN(C)C(=O)C=Cc2cnc3c(c2)CC2(CCNCC2)C(=O)N3)cccc1OC,'=',7.15
CCCn1c(C2CC(=O)N(c3cccc(Br)c3C)C2)nc2ccccc21,'=',6.13
CCOC(=O)C1=CC2CN(C(=O)C=Cc3cnc4c(c3)CCC(=O)N4)CC2C1,'=',5.85
CCc1cc(O)c(Oc2ccc(C#N)cc2F)cc1F,'=',7.51
CCc1cc(O)c(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)cc1F,'=',7.8
CCc1cc(O)c(Oc2ccc(C(=O)NC)cc2F)cc1F,'=',7.09
CCc1cc(O)c(Oc2ccc(C(=O)O)cc2F)cc1F,'=',6.75
CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,'=',7.919999999999999
CCc1cc(O)c(Oc2ccccc2)cc1F,'=',7.43
CCc1cc(O)c(Oc2ccccc2F)cc1F,'=',8.1
CCc1cc(O)c(Oc2cccnc2F)cc1F,'=',7.89
CCc1cc(O)c(Oc2cccnc2N)cc1F,'=',7.25
CCc1cc(OC(=O)OC)c(Oc2ccc(C(=O)N3CCNC(=O)C3)cc2F)cc1F,'=',5.3
