"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL6034879";"";"None";"408.53";"0";"2.63";"BDBM316893";"O=C1CCc2cc(/C=C/C(=O)N3C[C@H]4CN(Cc5cccs5)C[C@H]4C3)cnc2N1";"IC50";"'='";"9130.0";"nM";"5.04";"";"619698";"UO_0000065";"12.34";"0.24";"2.41";"7.69";"0";"CHEMBL5732078";"Enzyme Inhibition Assay: FabI enzyme inhibition assays were carried out in half-area, 384-well microtitre plates. Compounds were evaluated in 40-μl assay mixtures containing 100 mM NaADA, pH 6.5 (ADA=N-[2-acetamido]-2iminodiacetic acid), 250 μM crotonoyl-CoA, 625 μM NADH and 50 μg/ml S. aureus ATCC 29213 FabI. Inhibitors were typically varied over the range of 50 to 0.39 μM. The reaction mixtures were incubated for 30 minutes at room temperature and the reaction was stopped by adding 200 mM Tris buffer (pH 9.0) to create a pH-shift. The consumption of NADH was monitored by measuring the change in absorbance at 340. By comparing sample readings to those of negative (absence of compound) and positive (absence of enzyme) controls, the percent inhibition of enzymatic activity of the compounds was determined. A best-fit curve is fitted by a minimum of squares method.";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL5726112";"37";"BindingDB Patent Bioactivity Data";"";"2017";"None";"";"";"";"9130.0"
"CHEMBL568359";"";"None";"492.62";"0";"3.76";"15e";"CCCOc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CC2(CCN(C)CC2)C(=O)N3)cccc1OC";"IC50";"'='";"26.0";"nM";"7.58";"";"";"UO_0000065";"15.40";"0.29";"3.83";"9.03";"0";"CHEMBL1039114";"Inhibition of Staphylococcus aureus FabI";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL1155988";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"26.0"
"CHEMBL3322674";"";"None";"349.39";"0";"2.27";"AEA2";"O=C1CCc2cc(/C=C/C(=O)N3CC(Oc4ccccc4)C3)cnc2N1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL3365684";"Inhibition of Staphylococcus aureus FabI-mediated reduction of enoyl-ACP preincubated for 30 mins measured after 2 hrs by spectrophotometry";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3352330";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";"";"";""
"CHEMBL294363";"";"None";"316.43";"1";"5.33";"27";"c1ccc(-c2ccc(Cn3cnc(-c4ccsc4)c3)cc2)cc1";"IC50";"'='";"7660.0";"nM";"5.12";"";"";"UO_0000065";"16.17";"0.30";"-0.21";"28.71";"0";"CHEMBL677570";"Evaluated for inhibition of enoyl acyl carrier protein reductase (FabI) in Staphylococcus aureus.";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL1133895";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"7.66"
"CHEMBL421119";"";"None";"397.48";"0";"4.18";"12";"Nc1ccc(Cn2c3c(c4ccccc42)CCN(C(=O)c2ccc(O)cc2)C3)cc1";"IC50";"'='";"670.0";"nM";"6.17";"";"";"UO_0000065";"15.53";"0.28";"1.99";"8.64";"0";"CHEMBL677574";"Antibacterial activity against Staphylococcus aureus FabI";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL1133924";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"0.67"
"CHEMBL73953";"";"None";"412.49";"0";"4.61";"32";"Cc1cc(C(=O)N2CCc3c(n(Cc4ccc(O)cc4)c4ccccc34)C2)ccc1O";"IC50";"'='";"180.0";"nM";"6.75";"";"";"UO_0000065";"16.35";"0.30";"2.13";"10.27";"0";"CHEMBL677574";"Antibacterial activity against Staphylococcus aureus FabI";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL1133924";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"0.18"
"CHEMBL3623425";"";"None";"431.92";"1";"6.23";"16j";"Cc1cc(Cl)ccc1Oc1cn(Cc2ccccc2)c(COc2ccccc2)cc1=O";"IC50";"'='";"650.0";"nM";"6.19";"";"";"UO_0000065";"14.32";"0.27";"-0.04";"15.29";"0";"CHEMBL3625533";"Inhibition of Staphylococcus aureus FabI assessed as reduction in inhibition of reduction of trans-2-octenoyl N-acetylcysteamine substrate by spectrophotometry";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3621046";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"0.65"
"CHEMBL3322705";"";"None";"257.29";"0";"1.21";"BDBM133657";"O=C1CCc2cc(/C=C/C(=O)N3CCC3)cnc2N1";"IC50";"'='";"11000.0";"nM";"4.96";"";"305316";"UO_0000065";"19.27";"0.36";"3.75";"7.96";"1";"CHEMBL3705387";"Fluorescence Based Assay: The assay buffer 'AB' contained 50 mM ADA (N-(2-acetamido)iminodiacetic acid monosodium salt) pH 6.5, 1 mM dithiothreitol, 0.006% Triton-X100 and 50 mM NaCl. The following components are added in a white polystyrene Costar plate (Ref 3912) up to a final volume of 55.5 uL: 1.5 uL DMSO or inhibitor dissolved in DMSO and 54 uL of a FabI/NADPH/NADP+ mixture in AB. After 60 min of pre-incubation at room temperature, the reaction is started by addition of 5 uL of trans-2-octenoyl N-acetylcysteamine thioester (t-o-NAC) to a final volume of 60.5 uL. This reaction mixture is then composed of 2 nM FabI, 40 uM NADPH (Sigma, N7505), 10 uM NADP+(Sigma, N5755), 100 uM t-O-NAC and compound at defined concentration. Fluorescence intensity of NADPH (lamda=ex=360 nm, lamda=em=520 nm) is measured immediately after t-O-NAC addition (T0), and approximately 50 min later (T50) by a Fluostar Optima (BMG) so as to achieve ~30% of NADPH conversion.";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3638908";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"11000.0"
"CHEMBL3676414";"";"None";"391.49";"0";"1.80";"BDBM133678";"CCCCCS(=O)(=O)C1CN(C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)C1";"IC50";"'='";"8600.0";"nM";"5.07";"";"305337";"UO_0000065";"12.94";"0.26";"3.27";"5.25";"1";"CHEMBL3705387";"Fluorescence Based Assay: The assay buffer 'AB' contained 50 mM ADA (N-(2-acetamido)iminodiacetic acid monosodium salt) pH 6.5, 1 mM dithiothreitol, 0.006% Triton-X100 and 50 mM NaCl. The following components are added in a white polystyrene Costar plate (Ref 3912) up to a final volume of 55.5 uL: 1.5 uL DMSO or inhibitor dissolved in DMSO and 54 uL of a FabI/NADPH/NADP+ mixture in AB. After 60 min of pre-incubation at room temperature, the reaction is started by addition of 5 uL of trans-2-octenoyl N-acetylcysteamine thioester (t-o-NAC) to a final volume of 60.5 uL. This reaction mixture is then composed of 2 nM FabI, 40 uM NADPH (Sigma, N7505), 10 uM NADP+(Sigma, N5755), 100 uM t-O-NAC and compound at defined concentration. Fluorescence intensity of NADPH (lamda=ex=360 nm, lamda=em=520 nm) is measured immediately after t-O-NAC addition (T0), and approximately 50 min later (T50) by a Fluostar Optima (BMG) so as to achieve ~30% of NADPH conversion.";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3638908";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"8600.0"
"CHEMBL3322721";"";"None";"398.47";"0";"3.46";"AEA19";"Cc1cc(C2CN(C(=O)/C=C/c3cnc4c(c3)CCC(=O)N4)C2)nc2ccccc12";"IC50";"'='";"242.0";"nM";"6.62";"";"";"UO_0000065";"16.60";"0.30";"3.16";"8.80";"0";"CHEMBL3365684";"Inhibition of Staphylococcus aureus FabI-mediated reduction of enoyl-ACP preincubated for 30 mins measured after 2 hrs by spectrophotometry";"B";"BAO_0000357";"single protein format";"Staphylococcus aureus";"None";"None";"None";"None";"";"";"";"CHEMBL3994";"Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI";"Staphylococcus aureus";"SINGLE PROTEIN";"CHEMBL3352330";"1";"Scientific Literature";"Eur J Med Chem";"2014";"None";"";"";"";"0.242"
