Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones,Violaciones_Lipinski
CC[C@H]1C=CCC[C@@]2(CC3CCc4c(C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)CC(O)CCN)c(CCCC(C)O)nc([n+]43)N2)O1.[Cl-],6.492683333333334,6.622900376984125,6.5577918551587295,1
CC(=O)N(C)CCc1cc(Br)c(OCCCNc2ncn(C)c3ncnc2-3)c(Br)c1,6.466276666666666,6.578190860389609,6.522233763528137,1
CCC(=O)N(C)CCc1cc(Br)c(OCCCNC(=O)Cc2ccc(O)cc2)c(I)c1,6.594172222222217,6.42019743145743,6.507184826839824,1
COC1=C(Br)C[C@]2(OC=C1Br)ON=C(C(=O)NCCCOc1c(Br)cc(CCN(C)C(N)=O)cc1Br)[C@@H]2O,6.686236666666667,6.327730899470897,6.506983783068781,1
CCC(=O)N(C)CCc1cc(Br)c(OCCCNC(=O)Cc2ccc(O)cc2)c(Br)c1,6.572585555555552,6.42019743145743,6.496391493506491,1
COc1c(O)cc(CO)cc1Br,6.173153333333338,6.753760651154403,6.46345699224387,0
C[C@@H]1NC(=O)[C@@H](C)C/C(CO)=C/[C@H](C)C[C@H](C)OC(=O)C[C@H](c2ccc(O)cc2)NC(=O)[C@@H](Cc2c(Br)[nH]c3ccccc23)N(C)C1=O,6.496005555555557,6.424829371693118,6.460417463624338,1
CN[C@@H](Cc1ccc(OC)c(Br)c1)C(=O)NCCc1cc(Br)c(OCCCN(C)C)c(Br)c1,6.554467777777775,6.351861717171715,6.453164747474744,1
CC[C@H](C)[C@@H](C(=O)N[C@H](C(=O)N(C)[C@@H](C(C)C)[C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)O[C@H](CO)Cc1ccccc1)OC)C(C)C)N(C)C,6.438533333333338,6.454652539682538,6.446592936507939,1
CCOCc1cc(O)c(O)c(Br)c1Cc1cc(O)c(O)c(Br)c1Br,6.322481111111111,6.555399590367968,6.438940350739539,1
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)O[C@H](CO)Cc1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)[C@@H](C)CC,6.418277777777783,6.454652539682538,6.436465158730161,1
COC1=C(Br)[C@@H](O)[C@]2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(CC[N+](C)(C)C)cc1Br)=NO2,6.624732222222222,6.246980376984124,6.435856299603173,1
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(CC[N+](C)(C)C)cc1Br)=NO2,6.624732222222222,6.246980376984124,6.435856299603173,1
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCCOc1c(Br)cc(CCN(C)C)cc1Br)=NO2,6.62297111111111,6.246980376984124,6.434975744047617,1
C/C1=C\[C@H](C)C[C@H](C)OC(=O)C[C@H](c2ccc(O)cc2)NC(=O)[C@@H](Cc2c(Br)[nH]c3ccccc23)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](C)C1,6.474783333333336,6.395157466931215,6.434970400132276,1
COc1ccc(C[C@H](N)C(=O)NCCc2cc(Br)c(OCCCN(C)C)c(Br)c2)cc1Br,6.512351111111109,6.351861717171715,6.432106414141412,1
CNCCCOc1c(Br)cc(CCNC(=O)/C(Cc2ccc(OC)c(Br)c2)=N/O)cc1Br,6.543606666666663,6.3176366468253935,6.430621656746029,1
CNCCCOc1ccc(CCNC(=O)/C(Cc2cc(Br)c(OC)c(Br)c2)=N\O)cc1Br,6.543606666666663,6.3176366468253935,6.430621656746029,1
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)OC[C@@H](O)Cc1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)[C@@H](C)CC,6.418277777777783,6.439145119047618,6.428711448412701,1
CN(C)CCCOc1c(Br)cc(CCNC(=O)/C(Cc2ccc(O)c(Br)c2)=N/O)cc1Br,6.537101111111108,6.3176366468253935,6.427368878968251,1
COc1c(Br)cc(C/C(=N\O)C(=O)NCCCOc2c(Br)cc(CCN)cc2Br)c(O)c1Br,6.474884444444444,6.379734365079364,6.427309404761904,1
C/C1=C\[C@H](C)C[C@H](C)OC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](Cc2ccc(O)c(I)c2)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](C)C1,6.537716666666669,6.3115333333333306,6.424625,1
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCc1cc(Br)c(OCCCN(C)C)c(Br)c1)=NO2,6.62297111111111,6.225154880952378,6.424062996031744,1
CN(C)CCCOc1c(Br)cc(CCNC(=O)/C(Cc2ccccc2)=N/O)cc1Br,6.510897777777776,6.336999801587297,6.4239487896825365,1
CNCCCOc1cc(Br)c(CCNC(=O)C2=NO[C@]3(C=C(Br)C(OC)=C(Br)[C@@H]3O)C2)c(Br)c1,6.614953333333334,6.225154880952378,6.420054107142856,1
COC1=C(Br)[C@H](O)[C@@]2(C=C1Br)CC(C(=O)NCCc1cc(Br)c(OCCC[N+](C)(C)[O-])c(Br)c1)=NO2,6.606654444444445,6.225154880952378,6.415904662698411,1
CN(C)CCCOc1c(Br)cc(C/C(=N\O)C(=O)NCCc2cnc(N)[nH]2)cc1Br,6.468688888888892,6.362341111111108,6.415514999999999,1
COc1ccc(C/C(=N\O)C(=O)NCCc2cc(Br)c(OCCCN)c(Br)c2)cc1Br,6.442023333333328,6.379734365079364,6.410878849206346,1
COc1c(Br)cc(C/C(=N\O)C(=O)NCCCOc2ccc(CCN)cc2Br)cc1Br,6.442023333333328,6.379734365079364,6.410878849206346,1
COc1ccc(C/C(=N\O)C(=O)NCCCOc2c(Br)cc(CCN)cc2Br)cc1Br,6.442023333333328,6.379734365079364,6.410878849206346,1
COc1c(Br)cc(C/C(=N\O)C(=O)NCCc2ccc(OCCCN)c(Br)c2)cc1Br,6.442023333333328,6.379734365079364,6.410878849206346,1
COC1=C(Br)C[C@]2(OC=C1Br)ON=C(C(=O)NCCCOc1c(Br)cc(CCNC(=O)CO)cc1Br)[C@@H]2O,6.636707777777781,6.179194589947088,6.407951183862434,1
COc1ccc(C/C(=N\O)C(=O)NCCc2ccc(OCCCN)c(Br)c2)cc1Br,6.433289999999991,6.379734365079364,6.406512182539677,1
CCO[C@]1(OC)C(Br)=C[C@@](O)(CC(=O)NC(C)NC(=O)C[C@]2(O)C=C(Br)[C@](OC)(OCC)C(Br)=C2)C=C1Br,6.6383611111111085,6.169619087301586,6.403990099206347,1
CCO[C@]1(OC)C(Br)=C[C@@](O)(CC(=O)NC(C)NC(=O)C[C@]2(O)C=C(Br)[C@@](OC)(OCC)C(Br)=C2)C=C1Br,6.6383611111111085,6.169619087301586,6.403990099206347,1
CNCCCOc1c(Br)cc(C/C(=N\O)C(=O)NCCc2cnc(N)[nH]2)cc1Br,6.4232111111111125,6.379433075396822,6.401322093253967,1
COCc1cc(O)c(O)c(Br)c1Cc1cc(O)c(O)c(Br)c1Br,6.37061777777778,6.4282117384559845,6.399414758116882,1
COC(=O)c1ccccc1NC(=O)[C@H](CCS(C)(=O)=O)NC(=O)c1cnc2c(n1)c(=O)n(C)c(=O)n2C,6.247861111111114,6.549143253968257,6.398502182539685,1
C/C1=C\[C@H](C)C[C@H](C)OC(=O)[C@H](C)NC(=O)[C@@H](Cc2ccc(O)c(I)c2)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](C)C1,6.484750000000002,6.3115333333333306,6.398141666666666,1
CC[C@H]1C=CCC[C@@]2(C[C@@H]3CC[C@@H]4[C@H](C(=O)OCCCCCCCCCCCCCCCC5=NCCCN5C[C@@H](O)CCN)[C@]5(CCC[C@@H](C)O5)NC(=[N+]34)N2)O1.[Cl-],6.299272222222221,6.49124081349206,6.39525651785714,1
Cc1c(Cl)cc2c(c(C3=N[C@@](C)(C(=O)N[C@H](C)C(=O)N[C@@H](CO)C(=O)O)CO3)cn2C)c1O,6.415457777777775,6.374516812169313,6.394987294973544,0
CCOCc1c(Cc2cc(O)c(O)c(Br)c2Br)cc(O)c(O)c1Br,6.227847777777777,6.555399590367968,6.391623684072872,1
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)O[C@@H](Cc1ccccc1)C(=O)O)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C,6.41595555555556,6.365390248015871,6.390672901785715,1
COC1=C(Br)C[C@]2(OC=C1Br)ON=C(C(=O)NCCCOc1c(Br)cc(CC[N+](C)(C)C)cc1Br)[C@@H]2O,6.5917333333333366,6.188548075396823,6.39014070436508,1
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,6.239786666666695,6.539776007575767,6.389781337121231,1
C=C1C[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N[C@@H](c2ccc(O)cc2)CC(=O)O[C@@H](C)C[C@@H](C)[C@@H]1O,6.4543833333333325,6.324282962962956,6.389333148148144,1
C=C1C[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N[C@@H](c2ccc(O)cc2)CC(=O)O[C@@H](C)C[C@@H](C)C1O,6.4543833333333325,6.324282962962956,6.389333148148144,1
C=C1C[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc2c(Br)[nH]c3ccccc23)C(=O)N[C@@H](c2ccc(O)cc2)CC(=O)O[C@@H](C)C[C@@H](C)[C@H]1O,6.4543833333333325,6.324282962962956,6.389333148148144,1
C[S+]([O-])CC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](CC[S+](C)[O-])NC(=O)c2csc(n2)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C1=O,6.494646666666668,6.2809435019841295,6.387795084325399,1
CN(C)CCc1ccc(OCCCNC(=O)c2cc(Br)c(Br)[nH]2)c(Br)c1,6.356548888888888,6.414801360028856,6.3856751244588725,1
CN(C)CCc1ccc(OCCCNC(=O)c2cc(Br)c[nH]2)c(I)c1,6.355862777777772,6.414801360028856,6.385332068903314,1
COc1c(Br)cc(CC(O)C(=O)NCCc2ccc(O)c(I)c2)cc1Br,6.36294333333333,6.40664545400433,6.38479439366883,1
COC1=C(Br)C[C@]2(OC=C1Br)ON=C(C(=O)NCCCOc1c(Br)cc(CCNC=O)cc1Br)[C@@H]2O,6.628441111111112,6.140627288359788,6.38453419973545,1
CN(C)CCc1ccc(OCCCNC(=O)c2cc(Br)c[nH]2)c(Br)c1,6.350715555555553,6.414801360028856,6.382758457792205,0
C[C@@H]1NC(=O)[C@@H](C)C/C(C=O)=C\[C@H](C)C[C@H](C)OC(=O)C[C@H](c2ccc(O)cc2)NC(=O)[C@@H](Cc2c(Br)[nH]c3ccccc23)N(C)C1=O,6.440550000000002,6.324282962962956,6.382416481481479,1
