Smiles,pChEMBL_Fisico,pChEMBL_MACCS,Media_Predicciones
CC[C@H]1C=CCC[C@@]2(CC3CCc4c(C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)CC(O)CCN)c(CCCC(C)O)nc([n+]43)N2)O1.[Cl-],6.492683333333334,6.622900376984125,6.5577918551587295
CC[C@H]1C=CCC[C@@]2(C[C@@H]3CCc4c(C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](O)CCN)c(CCC[C@@H](C)O)nc([n+]43)N2)O1,6.43927222222222,6.631674107142856,6.5354731646825375
CC(=O)N(C)CCc1cc(Br)c(OCCCNc2ncn(C)c3ncnc2-3)c(Br)c1,6.466276666666666,6.578190860389609,6.522233763528137
COC[C@@H]([C@H](O)[C@H](O)C(=O)N[C@H](C)C[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@H](O[C@@H]4O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]4OC)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C(N)=O)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.470072222222223,6.567295522486768,6.5186838723544955
COC[C@@H]([C@H](O)[C@H](O)C(=O)N[C@H](C)C[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@H](O[C@@H]4O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]4OC)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C/C(N)=O)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.470072222222223,6.567295522486768,6.5186838723544955
COC[C@@H]([C@H](O)[C@H](O)C(=O)N[C@H](C)C[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@H](O[C@@H]4O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]4OC)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C\C=C\C(C)=C\C(N)=O)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.470072222222223,6.567295522486768,6.5186838723544955
COC(=O)N(C)CCCOc1c(Br)cc(CCNC(=O)/C(Cc2ccc(OC)c(Br)c2)=N/O)cc1Br,6.637384444444445,6.393612400793648,6.515498422619046
CNCCc1cc(Br)c(OCCCNC(=O)N(C)CCc2cc(Br)c(OCCCNC(=O)C3=NO[C@]4(CC(Br)=C(OC)C(Br)=CO4)[C@@H]3O)c(Br)c2)c(Br)c1,6.656472222222222,6.364337705026454,6.510404963624338
CC(C)C[C@@H](C(=O)N[C@H]1COC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C)COC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(C)C)N(C)C1=O)N(C)C,6.599072222222224,6.418493829365077,6.508783025793651
CCC(=O)N(C)CCc1cc(Br)c(OCCCNC(=O)Cc2ccc(O)cc2)c(I)c1,6.594172222222217,6.42019743145743,6.507184826839824
COC1=C(Br)C[C@]2(OC=C1Br)ON=C(C(=O)NCCCOc1c(Br)cc(CCN(C)C(N)=O)cc1Br)[C@@H]2O,6.686236666666667,6.327730899470897,6.506983783068781
CCC(=O)N(C)CCc1cc(Br)c(OCCCNC(=O)Cc2ccc(O)cc2)c(Br)c1,6.572585555555552,6.42019743145743,6.496391493506491
COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@@H]2O[C@@](C)(/C(C)=C/C=C/C(C)=C\C#N)[C@H](Br)[C@H]2C)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.4089888888888895,6.57481298280423,6.49190093584656
COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@@H]2O[C@@](C)(/C(C)=C/C=C/C(C)=C\C#N)[C@H](Br)[C@H]2C)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.4089888888888895,6.57481298280423,6.49190093584656
CC[C@@H]1C=CCC[C@]2(C[C@H]3CC[C@@]4(O)[C@@H](C(=O)OCCCCCCCCCCCCCCCCC(=O)N(CCCN)CC(O)CCN)[C@@]5(CCC[C@H](C)O5)N=C(N2)N34)O1,6.495766666666662,6.476846349206344,6.4863065079365025
CC[C@@H]1C=CCC[C@]2(C[C@H]3CC[C@@]4(O)[C@@H](C(=O)OCCCCCCCCCCCCCCCCCC(=O)N(CCCN)CC(O)CCN)[C@@]5(CCC[C@H](C)O5)N=C(N2)N34)O1,6.495766666666662,6.476846349206344,6.4863065079365025
CC[C@@H]1C=CCC[C@]2(C[C@H]3CC[C@@]4(O)[C@@H](C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)CC(O)CCN)[C@@]5(CCC[C@H](C)O5)N=C(N2)N34)O1,6.495766666666662,6.476846349206344,6.4863065079365025
CC(C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC[S+](C)[O-])NC(=O)[C@@H](N)Cc2cn(c3ccccc23)[C@]23C[C@H](NC(=O)[C@H](C(C)O)NC(=O)[C@@H]4CCCN4C1=O)C(=O)N1[C@@H](Cc4ccccc4)C(=O)N(c4ccccc42)[C@@H]13,6.325549999999999,6.640580006613756,6.483065003306877
CNCCc1cc(Br)c(OCCCNC(=O)N(C)CCc2cc(Br)c(OCCCNC(=O)N(C)CCc3cc(Br)c(OCCCNC(=O)C4=NO[C@]5(CC(Br)=C(OC)C(Br)=CO5)[C@@H]4O)c(Br)c3)c(Br)c2)c(Br)c1,6.592183333333332,6.364337705026454,6.4782605191798925
COC[C@@H]([C@H](O)[C@H](O)C(=O)NCC[C@H](C)c1nc(/C=C/C[C@@H]2O[C@@]3(C[C@@H](O)[C@@H]2C)O[C@H]([C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\C#N)OC)[C@H](OP(=O)(O)O)C3(C)C)co1)N(C)C,6.384750000000002,6.567295522486768,6.476022761243385
